query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,PASS,4,0.3068112500041025,0.073,01c5a80f-0817-d60d-0009-71015789fe4b,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,PASS,100,0.35852025000349386,0.121,01c5a80f-0817-d60d-0009-71015789ff0f,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,PASS,10,0.3153504579968285,0.083,01c5a80f-0817-d60d-0009-71015789ffc3,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,PASS,5,0.3034647920067073,0.071,01c5a80f-0817-d60d-0009-7101578a407b,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,PASS,5,0.34198116699553793,0.104,01c5a80f-0817-d60d-0009-7101578a40ff,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,PASS,1,0.28472487500403076,0.044,01c5a80f-0817-d60d-0009-7101578a416f,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,PASS,4,0.40682016600476345,0.153,01c5a80f-0817-d60d-0009-7101578a426f,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,PASS,2,0.33623125000303844,0.113,01c5a80f-0817-d60d-0009-7101578a433b,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,PASS,175,0.371760957998049,0.144,01c5a80f-0817-d60d-0009-7101578a4403,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,PASS,20,0.3473955000008573,0.122,01c5a80f-0817-d60d-0009-7101578a4493,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,PASS,1048,0.425690999996732,0.162,01c5a80f-0817-d60d-0009-7101578a456f,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,PASS,2,0.3499640830050339,0.098,01c5a80f-0817-d60d-0009-7101578a463b,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,PASS,42,0.34950758299964946,0.121,01c5a810-0817-d60d-0009-7101578a46af,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,PASS,1,0.2899536669938243,0.057,01c5a810-0817-d60d-0009-7101578a477f,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,PASS,1,0.30014870800368953,0.056,01c5a810-0817-d60d-0009-7101578a480b,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,PASS,18314,1.1248108329964452,0.155,01c5a810-0817-d60d-0009-7101578a49ff,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,PASS,1,0.30393108300631866,0.071,01c5a810-0817-d60d-0009-7101578a4b33,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,PASS,57,0.3690060419976362,0.133,01c5a810-0817-d60d-0009-7101578a4b63,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,PASS,1,0.3677807920030318,0.117,01c5a810-0817-d60d-0009-7101578a4c53,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,PASS,186,0.33796624999376945,0.104,01c5a810-0817-d60d-0009-7101578a4d3b,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,PASS,100,0.3662022079952294,0.136,01c5a810-0817-d60d-0009-7101578a4ddf,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,PASS,7,0.3772385000047507,0.136,01c5a810-0817-d60d-0009-7101578a4eb3,,,10.23.106 b20260710213651e7744f5c
